card_name,issuer,card_tier,joining_fee,annual_fee,min_income_annual_lakhs,base_reward_rate,reward_unit,point_value,travel_multiplier,air_india_transfer_ratio,milestone_ticket,domestic_lounge,international_lounge,forex_markup,reward_redemption_fee,is_ltf,search_tags,monthly_reward_cap,lounge_cap_details,retention_spend_req,forex_effective,emirates_suitability,notes_tnc,fuel_reward_rate,fuel_cap,surcharge_waiver,Transaction Range (min – max),~,multiplier_channel,direct_booking_rate,airline_partners__001,airline_partners__002,airline_partners__003,airline_partners__004,points_redemption_value_travel,instant_discount_eligible,booking_convenience_fee_waiver,grocery_rate,dining_rate,movie_rate,lifestyle_cap,milestone_benefit,joining_benefit,airline_transfer_json,hotel_transfer_json,gift_vouchers,detailed_rewards_json
HDFC Infinia Metal,HDFC,Ultra,12500,12500,60,3.3%,Points,1.0,5,1.0,No,Unlimited,Unlimited,2%,0.0,False,"luxury, air_india, travel",2L RP/Cycle (1.5L/mth flights/hotels),Truly Unlimited,₹18L Annual Spend OR ₹50L RLV,2.36%,High,Retention updated 2026; 1:1 SmartBuy/Miles.,0.00%,"₹1,000.00",1.00%,₹400 - ₹100000,All Stations,SmartBuy Portal Only,3.3%,IndiGo,Air India,Vistara,International,1.0,10% SmartBuy Sales,0,3.3%,3.3%,3.3%,No Cap,12.5k Points on Renewal,"12,500 Reward Points","{""Air India"": ""1:1"", ""Vistara"": ""1:1"", ""Singapore Airlines"": ""1:1"", ""British Airways"": ""1:1""}","{""Marriott Bonvoy"": ""1:1"", ""ITC"": ""1:1""}","Amazon, Flipkart, Tanishq via SmartBuy","{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Dining"": ""10x SmartBuy"", ""Travel"": ""10x SmartBuy"", ""Grocery"": ""3.3%""}"
Axis Atlas,Axis,Premium,5000,5000,15,2%,Miles,1.0,5,2.0,No,18,12,3.5%,199.0,False,"travel, miles, air_india",Tiered Miles Cap,Spend-based Tiers,None (Fixed Fee),3.89%,High,Miles capped by Partner Groups A/B (2026).,0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct & Travel Edge,4% (as Edge Miles),Air India,Vistara,IndiGo,60+ Partners,1.0,Direct booking 5X Miles,0,2.0%,4.0%,2.0%,Axis Miles Cap,Gold/Platinum Tier @ ₹7L/15L,"5,000 EDGE Miles","{""Air India"": ""1:2"", ""Vistara"": ""1:2"", ""Turkish Airlines"": ""1:2""}","{""Marriott Bonvoy"": ""1:2"", ""Accor"": ""1:1""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Travel"": ""5 Miles / \u20b9100"", ""Dining"": ""2 Miles / \u20b9100""}"
Air India SBI Sig,SBI,Premium,4999,4999,15,0.75%,Points,1.0,10,1.0,No,8,4,1.99%,99.0,False,"air_india, maharaja, flights",Standard SBI,₹75k/Qtr for Lounge,,2.35%,High,Direct Maharaja Club miles; SBI exclusions.,0.00%,₹250.00,1.00%,₹500 - ₹4000,All Stations,Direct & Air India Website,2%-5% (Co-branded),Air India,Star Alliance,,,1.0,10% SBI Sales,0,2.0%,3.0%,0.75%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Axis Vistara Inf,Axis,Ultra,10000,10000,30,1.5%,CV_Points,1.0,1,1.0,Yes,Unlimited,Unlimited,2%,0.0,False,"vistara, business_class, dubai",Vistara Caps,Unlimited,,2.36%,Med-High,Full merger to Maharaja Club in Mar 2026.,0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct & Vistara Website,2%-5% (Co-branded),Vistara,Air India,,,1.0,10% on Cleartrip/Yatra,0,2.0%,3.0%,1.5%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
HDFC Diners Black,HDFC,Ultra,10000,10000,30,3.3%,Points,1.0,5,1.0,No,Unlimited,Unlimited,2%,99.0,False,"premium, travel, dining",2L RP/Cycle,Unlimited,₹10L Annual Spend,2.36%,High,Retains ₹10L waiver; lower barrier than Infinia.,0.00%,"₹1,000.00",1.00%,₹400 - ₹100000,All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,2.0%,3.0%,3.3%,No Cap,High Spend Vouchers,"10,000 Reward Points","{""Air India"": ""1:1"", ""Vistara"": ""1:1"", ""Club Marriott"": ""1:1""}","{""Marriott"": ""1:1""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Dining"": ""10x SmartBuy"", ""Travel"": ""10x SmartBuy""}"
SBI Cashback,SBI,Mid,999,999,12,5%,Cashback,1.0,1,0.0,No,0,0,3.5%,0.0,False,"shopping, cashback, online",₹2k Online / ₹2k Offline,,,3.89%,Low,2026 Devaluation: Combined ₹4k monthly cap.,0.00%,₹100.00,1.00%,₹500 - ₹3000,All Stations,Direct Online,5% (Cashback),All,,,,1.0,Limited,0,5.0%,5.0%,5.0%,"₹5,000 Cashback/Cycle",Annual Fee Waiver @ ₹2L,Fee Waiver on Spends,"{""General"": ""N/A""}","{""General"": ""N/A""}",Direct Cashback to Statement,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Online"": ""5% Cashback"", ""Offline"": ""1% Cashback""}"
Tata Neu Infinity,HDFC,Premium,1499,1499,15,1.5%,NeuCoins,1.0,5,1.0,No,8,4,2%,0.0,False,"tata, air_india, bigbasket",Standard HDFC,₹50k/Qtr for Lounge,,2.36%,Med,Best for UPI rewards (1.5% NeuCoins).,0.00%,₹500.00,1.00%,₹400 - ₹5000,All Stations,Direct & Tata Neu Website,2%-5% (Co-branded),Air India,Air India Express,BigBasket,IndiGo (Limited),1.0,5% NeuCoins on AI/6E,0,2.0%,3.0%,1.5%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Amex Plat Travel,Amex,Mid,3500,5000,6,1%,Points,0.4,1,0.5,Yes,8,0,3.5%,0.0,False,"milestones, taj, free_flight",Milestone Capped,Fixed Quota,,3.89%,Med,2026 Milestone: Rewards shifted to ₹7L target.,0.00%,No Cap*,Convenience Fee,Under ₹5000,HPCL Only,Amex Travel / Reward Multiplier,Base MR,IndiGo (via Miles),Air India,Singapore Air,,0.4,Platinum Private Deals,0,1%,1%,1%,No Cap,Fee Waiver only,"4,000 to 10,000 Bonus Points","{""Air India"": ""1:1"", ""Vistara"": ""1:1"", ""Emirates"": ""1:0.5""}","{""Marriott"": ""1:1"", ""Hilton"": ""1:1""}",Amex Gold Collection Vouchers,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Multiplier"": ""2x - 5x via Reward Multiplier""}"
Axis Magnus,Axis,Ultra,12500,12500,36,1.2%,Points,0.2,1,0.4,No,Unlimited,Unlimited,2%,199.0,False,"luxury, rewards",Tiered Axis,Unlimited (Tiered),,2.36%,Med-High,Monthly milestone benefit removed in 2026.,0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct & Travel Edge,1%-2%,Vistara,Air India,IndiGo,Akasa,0.2,10% on Cleartrip/Yatra,0,1.2%,1.2%,1.2%,₹5L Monthly Spend,Bonus RP on High Spends,"Choice of Luxe/Vistara Voucher (₹10,000)","{""Air India"": ""5:4"", ""Vistara"": ""5:4"", ""Singapore Airlines"": ""5:2""}","{""Marriott Bonvoy"": ""5:4"", ""Accor"": ""1:1""}",Monthly Milestone Vouchers,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Travel"": ""5x via TravelEdge"", ""Dining"": ""1.2%""}"
IDFC Vistara,IDFC,Premium,4999,4999,15,1.5%,CV_Points,1.0,1,1.0,Yes,8,4,1.99%,99.0,False,"vistara, travel",Vistara Caps,₹20k Monthly Spend,,2.35%,Med,Migrated to Maharaja Club; spend-based lounge.,0.00%,₹200.00,1.00%,₹200 - ₹5000,All Stations,Direct & Vistara Website,2%-5% (Co-branded),Vistara,Air India,,,1.0,Bank Holidays,0,2.0%,3.0%,1.5%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
